id,teacher_id,skill_id
1,1,3
2,1,2
3,1,5
4,1,8
5,2,2
6,2,4
7,2,5
8,3,4
9,3,3
10,4,1
11,5,8
12,5,2
13,6,7
14,6,4
15,6,10
16,6,9
17,7,4
18,7,3
19,7,1
20,7,7
21,8,7
22,9,3
23,9,9
24,10,1
25,10,9
26,10,4
27,10,7
28,11,8
29,12,8
30,12,9
31,13,8
32,13,9
33,13,7
34,14,3
35,14,8
36,14,9
37,14,10
38,15,5
39,15,9
40,16,4
41,16,5
42,16,8
43,16,1
44,17,4
45,17,5
46,17,6
47,18,9
48,18,2
49,18,3
50,19,4
51,19,7
52,20,4
53,20,2
54,21,7
55,21,6
56,21,8
57,21,4
58,22,4
59,23,7
60,23,1
61,23,10
62,23,4
63,24,6
64,25,7
65,25,10
66,25,4
67,26,4
68,26,5
69,26,7
70,26,10
71,27,7
72,28,7
73,28,3
74,28,8
75,29,10
76,29,9
77,30,7
78,31,2
79,32,3
80,32,8
81,32,10
82,32,1
83,33,7
84,33,6
85,33,4
86,34,6
87,34,10
88,34,7
89,34,3
90,35,5
91,35,2
92,35,8
93,35,1
94,36,6
95,37,2
96,37,1
97,38,4
98,39,1
99,39,3
100,40,3
101,40,8
102,41,10
103,42,8
104,42,5
105,43,3
106,43,2
107,43,10
108,44,2
109,44,1
110,44,5
111,45,7
112,45,4
113,45,2
114,45,5
115,46,2
116,46,5
117,47,10
118,48,6
119,49,6
120,49,2
121,49,10
122,49,1
123,50,8
124,50,2
125,50,7
126,50,3
